,method,seed,modal,acc
278,mmix_l_10_lr1e-4_wd0.0,0,[2],0.995312511920929
206,gmc_nl_lr5e-4_wd1e-3,0,[0&1],0.995312511920929
360,mmix_l_10_lr1e-4_wd1e-4,0,[2],0.995312511920929
320,mmix_l_10_lr1e-4_wd1e-3,0,[2],0.995312511920929
107,mmix_l_10_lr1e-3_wd1e-4,0,[2],0.995312511920929
365,gmc_l_lr1e-4_wd1e-4,0,[0&1&2],0.9952263236045837
186,gmc_l_lr5e-4_wd1e-3,0,[1&2],0.995151698589325
272,gmc_l_lr1e-4_wd0.0,0,[0&1&2],0.9951286315917969
184,gmc_l_lr5e-4_wd1e-3,0,[2],0.9951286315917969
313,mmix_l_05_lr1e-4_wd1e-3,0,[0],0.9950195550918579
149,mmix_l_05_lr5e-4_wd0.0,0,[0],0.9950195550918579
108,mmix_l_05_lr1e-3_wd1e-4,0,[0],0.9950195550918579
352,mmix_l_05_lr1e-4_wd1e-4,0,[0],0.9950195550918579
232,mmix_l_05_lr5e-4_wd1e-4,0,[0],0.9950195550918579
273,mmix_l_05_lr1e-4_wd0.0,0,[0],0.9950195550918579
65,mmix_l_05_lr1e-3_wd1e-3,0,[0],0.9950195550918579
190,mmix_l_05_lr5e-4_wd1e-3,0,[0],0.9950195550918579
23,mmix_l_05_lr1e-3_wd0.0,0,[0],0.9950195550918579
144,gmc_l_lr5e-4_wd0.0,0,[1&2],0.9949333071708679
4,mmix_nl_05_lr1e-3_wd0.0,0,[0],0.994824230670929
170,mmix_nl_05_lr5e-4_wd1e-3,0,[0],0.994824230670929
128,mmix_nl_05_lr5e-4_wd0.0,0,[0],0.994824230670929
211,mmix_nl_05_lr5e-4_wd1e-4,0,[0],0.994824230670929
43,mmix_nl_05_lr1e-3_wd1e-3,0,[0],0.994824230670929
87,mmix_nl_05_lr1e-3_wd1e-4,0,[0],0.994824230670929
252,mmix_nl_05_lr1e-4_wd0.0,0,[0],0.994824230670929
333,mmix_nl_05_lr1e-4_wd1e-4,0,[0],0.994824230670929
293,mmix_nl_05_lr1e-4_wd1e-3,0,[0],0.994824230670929
337,gmc_nl_lr1e-4_wd1e-3,0,[0&2],0.9946403503417969
81,gmc_nl_lr1e-3_wd1e-3,0,[1&2],0.9943473935127258
143,gmc_l_lr5e-4_wd0.0,0,[0&1],0.9943473935127258
318,gmc_l_lr1e-4_wd1e-3,0,[0&1&2],0.9943473935127258
248,gmc_nl_lr5e-4_wd1e-4,0,[0&1],0.9942497611045837
168,mmix_nl_10_lr5e-4_wd1e-3,0,[0],0.9942383170127869
3,mmix_nl_10_lr1e-3_wd0.0,0,[0],0.9942383170127869
295,mmix_nl_10_lr1e-4_wd1e-3,0,[0],0.9942383170127869
